Wall time,Step,Value
1771649153.478321,3332000,-620.9163208007812
1771649190.9792569,3336000,-626.4010009765625
1771649266.2807117,3344000,-651.859619140625
1771649304.2847915,3348000,-656.3812255859375
1771649418.945527,3360000,-631.1898193359375
1771649456.6948223,3364000,-619.4055786132812
1771649569.434369,3376000,-620.394287109375
1771649647.3679225,3384000,-623.9439086914062
1771649875.8965256,3408000,-637.8995971679688
1771650106.2635696,3432000,-606.4385986328125
1771650219.7556624,3444000,-581.4384155273438
1771650295.870804,3452000,-582.147216796875
1771650444.6133268,3468000,-615.3350219726562
1771650594.3822181,3484000,-603.7135009765625
1771650634.3250654,3488000,-587.2608032226562
1771651127.166617,3540000,-609.3320922851562
1771651203.816459,3548000,-610.4699096679688
1771651430.8487983,3572000,-588.456298828125
1771651543.0646152,3584000,-562.525390625
1771651617.6248786,3592000,-561.5328979492188
1771651768.3451874,3608000,-572.3314208984375
1771651805.9647858,3612000,-573.8204956054688
1771652034.9239354,3636000,-576.2192993164062
1771652111.631728,3644000,-563.0073852539062
1771652414.4470308,3676000,-574.328125
1771652529.4442296,3688000,-578.0847778320312
1771652789.1432967,3716000,-601.6646118164062
1771652864.1279635,3724000,-592.127685546875
1771652901.2324266,3728000,-586.1776123046875
1771652939.986665,3732000,-575.50439453125
1771653318.9752617,3772000,-561.101318359375
1771653587.8615992,3800000,-544.0880126953125
1771653702.5613484,3812000,-550.1823120117188
1771653818.0385475,3824000,-544.1649169921875
1771654121.5622292,3856000,-567.4951782226562
1771654695.3824356,3916000,-566.6563720703125
1771654730.222388,3920000,-575.8142700195312
1771654845.2956553,3932000,-561.6912231445312
1771654995.448726,3948000,-565.7205810546875
1771655148.0719097,3964000,-534.69921875
1771655225.6178038,3972000,-532.9238891601562
1771655301.6796696,3980000,-537.8095703125
1771655493.6415327,4000000,-535.4307861328125
1771655610.091582,4012000,-543.8889770507812
1771655648.8723967,4016000,-532.43701171875
1771655688.7863097,4020000,-550.422119140625
1771655762.8610656,4028000,-553.2379760742188
1771656030.0515177,4056000,-531.3673706054688
1771656106.038868,4064000,-527.4703979492188
1771656377.2163572,4092000,-520.853515625
1771656530.762816,4108000,-537.6224975585938
1771656607.228167,4116000,-525.7947998046875
1771656873.013669,4144000,-528.1937255859375
1771656910.1415637,4148000,-531.19482421875
1771656950.1131616,4152000,-521.4434814453125
1771657175.4427114,4176000,-531.663818359375
1771657290.8344367,4188000,-530.359375
1771657676.57323,4228000,-510.05670166015625
1771657829.844776,4244000,-490.4021911621094
1771657907.0080023,4252000,-500.73760986328125
1771658213.4941592,4284000,-542.1766967773438
1771658250.9529135,4288000,-523.2279052734375
1771658327.5747948,4296000,-503.5751037597656
1771658475.268343,4312000,-501.7428894042969
1771658592.2074234,4324000,-497.9930114746094
1771658819.45782,4348000,-490.21820068359375
1771658860.701974,4352000,-472.75311279296875
1771659283.744099,4396000,-508.1617126464844
1771659432.644034,4412000,-476.9573059082031
1771659510.5109189,4420000,-500.36090087890625
1771659625.5195668,4432000,-468.1471862792969
1771659702.140982,4440000,-486.88360595703125
1771659776.096482,4448000,-497.5714111328125
1771659891.3314698,4460000,-497.1416931152344
1771660161.8943136,4488000,-513.165771484375
1771660197.2678142,4492000,-522.6409301757812
1771660312.3562167,4504000,-522.2479858398438
1771660350.9789138,4508000,-502.8205871582031
1771660464.3428876,4520000,-483.0210876464844
1771660578.182584,4532000,-485.26568603515625
1771660655.4643238,4540000,-502.89801025390625
1771660847.8298957,4560000,-478.56610107421875
1771661118.3404477,4588000,-487.9306945800781
1771661308.333695,4608000,-469.0732116699219
1771661346.7462213,4612000,-472.8196105957031
1771661730.430374,4652000,-455.531005859375
1771661806.7214873,4660000,-454.8398132324219
1771662189.111277,4700000,-461.827392578125
1771662265.365765,4708000,-466.06561279296875
1771662302.6245599,4712000,-462.2666015625
1771662491.2116852,4732000,-468.8617858886719
1771662569.7227256,4740000,-463.41070556640625
1771662760.6433785,4760000,-464.6011047363281
1771662913.8186834,4776000,-435.51141357421875
1771662951.309473,4780000,-432.97210693359375
1771663067.055324,4792000,-443.1669006347656
1771663411.9763172,4828000,-457.48919677734375
1771663720.3037298,4860000,-447.80010986328125
1771663870.4266188,4876000,-441.85418701171875
1771664064.3637536,4896000,-439.03790283203125
1771664139.9765036,4904000,-440.1217041015625
1771664293.8015542,4920000,-451.2254943847656
1771664866.131523,4980000,-465.5303039550781
1771664943.8451355,4988000,-434.768798828125
1771665098.2829614,5004000,-420.8915100097656
1771665136.9254894,5008000,-431.7965087890625
1771665174.1539786,5012000,-441.3938903808594
1771665251.4385617,5020000,-439.75738525390625
1771665366.3485513,5032000,-424.48968505859375
1771665480.8440375,5044000,-427.7004089355469
1771665518.2550416,5048000,-428.6954040527344
1771665747.0455353,5072000,-406.54949951171875
1771665902.649403,5088000,-417.0884094238281
1771666096.9836416,5108000,-415.9653015136719
1771666173.6351373,5116000,-423.30279541015625
1771666326.6446443,5132000,-414.0101013183594
1771666440.5421355,5144000,-429.1213073730469
1771666631.1158493,5164000,-412.3468933105469
1771666748.0692728,5176000,-375.0885925292969
1771666938.5913446,5196000,-412.224609375
1771666975.7596784,5200000,-406.2322998046875
1771667090.333101,5212000,-405.3829040527344
1771667248.3895557,5228000,-403.24609375
1771667591.3196483,5264000,-418.89019775390625
1771667861.9700625,5292000,-391.4755859375
1771667975.8328636,5304000,-389.0715026855469
1771668013.5094507,5308000,-395.52398681640625
1771668360.6158946,5344000,-394.4963073730469
1771668744.7145534,5384000,-399.4382019042969
1771668858.7895443,5396000,-393.2204895019531
1771669086.5989838,5420000,-412.715087890625
1771669317.5389926,5444000,-386.29888916015625
1771669472.4895759,5460000,-375.4573059082031
1771669626.4676168,5476000,-411.5757141113281
1771669892.6756217,5504000,-385.910400390625
1771669932.9252925,5508000,-386.37188720703125
1771670085.0101886,5524000,-383.190185546875
1771670315.7219107,5548000,-376.6700134277344
1771670469.0617156,5564000,-378.0631103515625
1771670585.8585966,5576000,-369.8728942871094
1771670739.6249182,5592000,-397.56390380859375
1771671509.663686,5672000,-392.0997009277344
1771671663.0018728,5688000,-360.775390625
1771672046.7140198,5728000,-374.19390869140625
1771672236.8855085,5748000,-370.80279541015625
1771672315.2767031,5756000,-358.16339111328125
1771672355.2800426,5760000,-377.4964904785156
1771672390.0330331,5764000,-385.6653137207031
1771672431.1848688,5768000,-381.1133117675781
1771672734.7831757,5800000,-376.7492980957031
1771673045.5356116,5832000,-363.74639892578125
1771673084.708207,5836000,-364.56170654296875
1771673159.2917655,5844000,-351.98870849609375
1771673196.6247535,5848000,-342.09051513671875
1771673656.9852612,5896000,-353.6258850097656
1771673695.9116766,5900000,-349.0354919433594
1771673773.7851188,5908000,-329.6560974121094
1771674197.8076713,5952000,-340.5802001953125
1771674312.5302687,5964000,-318.8197937011719
1771674464.0344021,5980000,-342.0205993652344
1771674614.552587,5996000,-350.2757873535156
1771674769.3574703,6012000,-316.0802001953125
1771675037.3169203,6040000,-325.2698974609375
1771675077.5192087,6044000,-325.5810852050781
1771675115.2574558,6048000,-333.07659912109375
1771675192.3280354,6056000,-332.98089599609375
1771675307.3143313,6068000,-324.8328857421875
1771675768.0589557,6116000,-338.4814147949219
1771675996.7230093,6140000,-311.93438720703125
1771676113.548202,6152000,-317.21038818359375
1771676150.82397,6156000,-319.42779541015625
1771676535.8643692,6196000,-333.4017028808594
1771676652.7765503,6208000,-330.10260009765625
1771676689.2077816,6212000,-325.1980895996094
1771677074.7381852,6252000,-335.60650634765625
1771677188.318886,6264000,-318.1427917480469
1771677225.9214585,6268000,-314.252685546875
1771677302.6085382,6276000,-310.00048828125
1771677459.0323124,6292000,-322.5812072753906
1771677494.9601777,6296000,-322.24249267578125
1771677609.3019824,6308000,-310.447998046875
1771677761.7840016,6324000,-315.4140930175781
1771677955.6686702,6344000,-315.1159973144531
1771678376.7857282,6388000,-316.77508544921875
1771678570.4796047,6408000,-295.51580810546875
1771678644.7708793,6416000,-299.0304870605469
1771678953.1436715,6448000,-296.4971923828125
1771679566.5435948,6512000,-276.4783020019531
1771679875.070828,6544000,-298.1991882324219
1771679952.242663,6552000,-296.40728759765625
1771680068.2742383,6564000,-301.2933044433594
1771680297.1202273,6588000,-299.6070861816406
1771680337.0988145,6592000,-299.2123107910156
1771680602.7749133,6620000,-274.71868896484375
