Wall time,Step,Value
1771631809.9812515,1496000,-975.509521484375
1771631848.6606367,1500000,-974.5905151367188
1771631885.000332,1504000,-967.8389282226562
1771631922.4590771,1508000,-973.7291259765625
1771631960.3370512,1512000,-978.3348999023438
1771631998.2854104,1516000,-986.3225708007812
1771632036.4167426,1520000,-979.0819091796875
1771632073.8306851,1524000,-969.5994873046875
1771632110.310132,1528000,-971.2420043945312
1771632148.7792387,1532000,-964.7576904296875
1771632185.1324706,1536000,-962.9263916015625
1771632224.0053377,1540000,-985.3621215820312
1771632261.8937583,1544000,-975.1981201171875
1771632299.7131832,1548000,-974.9166870117188
1771632337.4460058,1552000,-972.9302978515625
1771632373.2539232,1556000,-977.5151977539062
1771632413.3539865,1560000,-969.720703125
1771632451.0334299,1564000,-962.7941284179688
1771632487.2566595,1568000,-992.6336059570312
1771632525.1308815,1572000,-980.3986206054688
1771632564.0871396,1576000,-959.5479125976562
1771632601.634454,1580000,-948.8754272460938
1771632638.0433474,1584000,-942.3084716796875
1771632676.920849,1588000,-911.5540161132812
1771632714.5081527,1592000,-910.67431640625
1771632749.8484254,1596000,-915.1705932617188
1771632787.6619349,1600000,-923.5394897460938
1771632822.6979327,1604000,-929.3897705078125
1771632860.2214873,1608000,-931.4249267578125
1771632897.295591,1612000,-927.986572265625
1771632936.2278848,1616000,-941.3211059570312
1771632973.9102554,1620000,-946.4727172851562
1771633010.2085319,1624000,-945.026123046875
1771633049.3490965,1628000,-946.4929809570312
1771633088.1388342,1632000,-919.6563720703125
1771633124.439955,1636000,-912.140625
1771633162.5572858,1640000,-886.3209228515625
1771633201.3872457,1644000,-889.9837036132812
1771633240.5966916,1648000,-895.3112182617188
1771633276.9440954,1652000,-896.3037719726562
1771633316.0122685,1656000,-909.2703247070312
1771633353.3341746,1660000,-933.8660888671875
1771633390.807146,1664000,-917.6943969726562
1771633429.9178152,1668000,-940.4791259765625
1771633466.3959494,1672000,-969.2908935546875
1771633504.054712,1676000,-959.517578125
1771633542.4156075,1680000,-956.7332153320312
1771633580.3835437,1684000,-943.9107055664062
1771633617.8347483,1688000,-935.518310546875
1771633655.2312746,1692000,-939.0552978515625
1771633691.9899378,1696000,-926.448974609375
1771633729.5615811,1700000,-918.1602172851562
1771633768.482886,1704000,-903.5789184570312
1771633806.2158542,1708000,-916.493896484375
1771633844.016438,1712000,-885.5905151367188
1771633881.506742,1716000,-913.0855712890625
1771633920.3221562,1720000,-927.7850952148438
1771633958.6650045,1724000,-927.097900390625
1771633995.834447,1728000,-922.7125244140625
1771634032.8879764,1732000,-943.8612060546875
1771634071.489289,1736000,-929.5438842773438
1771634109.529867,1740000,-925.9708862304688
1771634147.094917,1744000,-908.889892578125
1771634183.794588,1748000,-894.2930908203125
1771634223.9601243,1752000,-885.5512084960938
1771634260.4210844,1756000,-911.430908203125
1771634296.6825233,1760000,-914.6953125
1771634332.8548808,1764000,-930.0042114257812
1771634370.6756392,1768000,-930.5640869140625
1771634408.9743366,1772000,-940.2952270507812
1771634446.9564989,1776000,-918.3394165039062
1771634482.9476538,1780000,-921.9782104492188
1771634522.0776286,1784000,-931.5808715820312
1771634559.7240915,1788000,-911.4257202148438
1771634598.8040214,1792000,-908.8383178710938
1771634634.855859,1796000,-901.5463256835938
1771634672.2971973,1800000,-882.6375732421875
1771634709.9509714,1804000,-884.3641967773438
1771634749.0059795,1808000,-887.6234741210938
1771634786.580716,1812000,-886.4583740234375
1771634824.294653,1816000,-907.0712280273438
1771634861.97523,1820000,-915.082275390625
1771634898.3216293,1824000,-895.5902709960938
1771634936.922847,1828000,-894.4296875
1771634975.9947658,1832000,-882.9779052734375
1771635013.9496753,1836000,-862.4249877929688
1771635050.0041819,1840000,-872.563720703125
1771635086.7715538,1844000,-867.0888061523438
1771635124.015944,1848000,-873.8240966796875
1771635159.1925647,1852000,-872.9663696289062
1771635199.9011652,1856000,-861.6051025390625
1771635236.1286042,1860000,-871.05908203125
1771635273.5947373,1864000,-892.994384765625
1771635312.3406153,1868000,-892.8161010742188
1771635349.6960163,1872000,-900.7119750976562
1771635387.4439452,1876000,-922.3859252929688
1771635424.9105747,1880000,-895.915771484375
1771635462.3511982,1884000,-901.4288940429688
1771635498.8557622,1888000,-893.8134765625
1771635539.5725656,1892000,-883.6038208007812
1771635577.186986,1896000,-883.5614013671875
1771635611.959666,1900000,-889.1439208984375
1771635651.820433,1904000,-895.167724609375
1771635689.340317,1908000,-886.7006225585938
1771635726.7448027,1912000,-867.5833740234375
1771635763.4056726,1916000,-879.5355224609375
1771635800.9137845,1920000,-867.473876953125
1771635838.0102546,1924000,-864.3023071289062
1771635877.231672,1928000,-878.8560791015625
1771635914.8742425,1932000,-873.3287963867188
1771635951.4386044,1936000,-870.2125854492188
1771635989.6597092,1940000,-870.5349731445312
1771636028.3787808,1944000,-857.6862182617188
1771636064.7566838,1948000,-858.6312255859375
1771636102.5346127,1952000,-863.5311279296875
1771636139.7925384,1956000,-868.2586059570312
1771636176.2409818,1960000,-875.281982421875
1771636215.330446,1964000,-855.6375122070312
1771636253.0768769,1968000,-862.46240234375
1771636290.9363744,1972000,-856.806396484375
1771636329.442222,1976000,-835.2683715820312
1771636365.885952,1980000,-861.2319946289062
1771636404.7626884,1984000,-872.3795776367188
1771636442.2376616,1988000,-867.0853881835938
1771636479.6047568,1992000,-875.1525268554688
1771636516.1155472,1996000,-891.9923095703125
1771636553.8247583,2000000,-881.6326293945312
1771636592.682679,2004000,-892.029296875
1771636630.2238202,2008000,-900.3515014648438
1771636666.9228005,2012000,-898.6981201171875
1771636702.7791498,2016000,-875.4357299804688
1771636741.4197428,2020000,-866.4157104492188
1771636778.9612153,2024000,-859.97412109375
1771636816.9177625,2028000,-848.4622192382812
1771636854.583459,2032000,-842.7401733398438
1771636893.5016296,2036000,-855.291015625
1771636929.87486,2040000,-841.1491088867188
1771636967.5236523,2044000,-848.5831909179688
1771637007.8929744,2048000,-862.2628784179688
1771637044.5441647,2052000,-882.7554931640625
1771637082.2715542,2056000,-884.5228881835938
1771637120.806636,2060000,-890.6480712890625
1771637158.1285653,2064000,-879.8762817382812
1771637196.9045978,2068000,-861.48388671875
1771637233.183868,2072000,-840.434326171875
1771637270.7304418,2076000,-849.2269287109375
1771637308.5283546,2080000,-846.0994262695312
1771637346.246801,2084000,-857.9357299804688
1771637383.6378279,2088000,-853.8742065429688
1771637421.2177315,2092000,-852.344482421875
1771637461.0193255,2096000,-848.1893920898438
1771637497.2653356,2100000,-828.90087890625
1771637532.2315507,2104000,-834.3369140625
1771637570.9750135,2108000,-842.565185546875
1771637608.895258,2112000,-830.3333129882812
1771637646.4572341,2116000,-842.7498779296875
1771637687.8768287,2120000,-834.8638916015625
1771637724.6110048,2124000,-833.0994873046875
1771637761.0118034,2128000,-830.98291015625
1771637797.4781575,2132000,-830.6163940429688
1771637837.581416,2136000,-838.4793090820312
1771637873.8676462,2140000,-853.2603759765625
1771637912.800817,2144000,-846.3178100585938
1771637950.509835,2148000,-866.3051147460938
1771637989.321479,2152000,-846.3817138671875
1771638025.7056818,2156000,-841.746826171875
1771638062.2613263,2160000,-849.7297973632812
1771638099.8929968,2164000,-848.559814453125
1771638138.5239527,2168000,-854.9185180664062
1771638177.3745553,2172000,-858.4351806640625
1771638213.2661586,2176000,-849.4099731445312
1771638250.5694547,2180000,-838.9212036132812
1771638290.5717015,2184000,-845.3649291992188
1771638326.0123787,2188000,-827.2136840820312
1771638363.7968965,2192000,-832.4915771484375
1771638398.946028,2196000,-831.8062744140625
1771638437.8912191,2200000,-835.16162109375
1771638475.821409,2204000,-839.1414794921875
1771638513.6366284,2208000,-829.6069946289062
1771638552.266411,2212000,-826.1578979492188
1771638590.880176,2216000,-820.6032104492188
1771638628.5772839,2220000,-809.9000854492188
1771638665.5100546,2224000,-795.42578125
1771638704.590479,2228000,-809.6854858398438
1771638743.6694372,2232000,-813.8104248046875
1771638779.90798,2236000,-817.3499755859375
1771638816.4685292,2240000,-815.5479125976562
1771638856.3706818,2244000,-824.676513671875
1771638892.8712368,2248000,-818.4846801757812
1771638931.951279,2252000,-801.7785034179688
1771638969.7190511,2256000,-800.8770751953125
1771639005.9025602,2260000,-806.169189453125
1771639044.4999475,2264000,-806.1580200195312
1771639083.0611393,2268000,-801.955810546875
1771639119.4252837,2272000,-813.281494140625
1771639157.1964018,2276000,-836.319580078125
1771639196.0654278,2280000,-824.1260986328125
1771639233.3138106,2284000,-822.916015625
1771639271.2088964,2288000,-839.864501953125
1771639309.1679626,2292000,-834.7034301757812
1771639344.69498,2296000,-815.9373779296875
1771639382.6883337,2300000,-806.2044067382812
1771639423.125997,2304000,-797.9110717773438
1771639458.2825062,2308000,-788.43701171875
1771639494.7864642,2312000,-789.347412109375
1771639532.1180732,2316000,-798.6679077148438
1771639570.7701359,2320000,-801.9382934570312
1771639607.0211303,2324000,-804.3250732421875
1771639645.7013237,2328000,-796.942626953125
1771639682.1194546,2332000,-800.5933837890625
1771639719.847582,2336000,-793.4973754882812
1771639758.341804,2340000,-787.077880859375
1771639794.7435226,2344000,-782.3651733398438
1771639832.4240177,2348000,-789.2791748046875
1771639870.352271,2352000,-779.0781860351562
1771639908.8845568,2356000,-775.81787109375
1771639946.4172878,2360000,-789.7891845703125
1771639984.2057567,2364000,-788.0535278320312
1771640023.3091595,2368000,-789.9804077148438
1771640060.7865748,2372000,-794.602294921875
1771640098.304506,2376000,-786.9193725585938
1771640137.151617,2380000,-785.7783203125
1771640174.9575782,2384000,-776.08837890625
1771640215.2934475,2388000,-788.4769897460938
1771640250.156496,2392000,-793.6331787109375
1771640287.6583564,2396000,-793.8187866210938
1771640326.6882925,2400000,-799.2860717773438
1771640364.1692765,2404000,-810.523193359375
1771640400.8289855,2408000,-790.0220947265625
1771640436.971292,2412000,-778.4124755859375
1771640475.7858288,2416000,-768.1287841796875
1771640513.2123375,2420000,-761.1837158203125
1771640550.557088,2424000,-757.3649291992188
1771640588.3365645,2428000,-759.951416015625
1771640627.5143492,2432000,-771.7650146484375
1771640666.3194978,2436000,-787.2510986328125
1771640704.1830628,2440000,-792.44677734375
1771640742.8576305,2444000,-793.3060913085938
1771640780.2492309,2448000,-783.107421875
1771640817.9414861,2452000,-806.7349243164062
1771640855.5781784,2456000,-796.6212768554688
1771640893.0150738,2460000,-803.5181884765625
1771640930.3436227,2464000,-813.9129028320312
1771640968.8443813,2468000,-811.25537109375
1771641006.634939,2472000,-784.497314453125
1771641044.0257945,2476000,-786.8529052734375
1771641080.571191,2480000,-770.9786987304688
1771641120.910548,2484000,-765.39599609375
1771641157.0269082,2488000,-761.977783203125
1771641196.3637645,2492000,-763.1375732421875
1771641232.9221497,2496000,-762.6915893554688
1771641269.485645,2500000,-767.656982421875
1771641306.5562115,2504000,-759.4074096679688
1771641343.94174,2508000,-738.6234130859375
1771641381.660516,2512000,-745.6365966796875
1771641419.0705884,2516000,-733.8494873046875
1771641458.0101757,2520000,-737.17431640625
1771641494.68985,2524000,-725.2435913085938
1771641534.9129817,2528000,-723.6901245117188
1771641569.6855743,2532000,-724.9984130859375
1771641607.0686655,2536000,-735.663818359375
1771641645.8178246,2540000,-740.9520263671875
1771641683.4702618,2544000,-752.998291015625
1771641719.4458225,2548000,-756.451171875
1771641757.0673199,2552000,-769.8754272460938
1771641792.995768,2556000,-783.2222290039062
1771641831.7469802,2560000,-786.414794921875
1771641869.0788007,2564000,-796.93701171875
1771641907.8200674,2568000,-793.9891967773438
1771641945.1006093,2572000,-782.548828125
1771641983.4327092,2576000,-754.4453735351562
