trans_idx,has_right_lane,has_left_lane,driving_in_weaving,dist_to_onramp,dist_to_offramp,leader_gap,leader_relatif_s,follower_gap,follower_relatif_s,left_leader_gap,left_leader_relatif_s,left_follower_gap,left_follower_relatif_s,right_leader_gap,right_leader_relatif_s,right_follower_gap,right_follower_relatif_s,action,reward,done,next_has_right_lane,next_has_left_lane,next_driving_in_weaving,next_dist_to_onramp,next_dist_to_offramp,next_leader_gap,next_leader_relatif_s,next_follower_gap,next_follower_relatif_s,next_left_leader_gap,next_left_leader_relatif_s,next_left_follower_gap,next_left_follower_relatif_s,next_right_leader_gap,next_right_leader_relatif_s,next_right_follower_gap,next_right_follower_relatif_s
10030995,1.0,0.0,1.0,-2.0,-2.0,0.18,0.05,0.23,-0.08,-2.0,-2.0,-2.0,-2.0,0.25,0.11,0.2,-0.07,1,-0.45,False,1.0,0.0,1.0,-2.0,-2.0,0.17,0.04,0.2,-0.08,-2.0,-2.0,-2.0,-2.0,0.24,0.02,0.48,-0.14
10030999,1.0,0.0,1.0,-2.0,-2.0,0.17,0.04,0.2,-0.08,-2.0,-2.0,-2.0,-2.0,0.24,0.02,0.48,-0.14,1,-0.5,False,1.0,0.0,1.0,-2.0,-2.0,0.16,0.02,0.19,-0.06,-2.0,-2.0,-2.0,-2.0,0.22,0.06,0.44,-0.13
10031003,1.0,0.0,1.0,-2.0,-2.0,0.16,0.02,0.19,-0.06,-2.0,-2.0,-2.0,-2.0,0.22,0.06,0.44,-0.13,1,-0.53,False,1.0,0.0,1.0,-2.0,-2.0,0.16,0.0,0.17,-0.03,-2.0,-2.0,-2.0,-2.0,0.23,-0.02,0.08,-0.14
10031007,1.0,0.0,1.0,-2.0,-2.0,0.16,0.0,0.17,-0.03,-2.0,-2.0,-2.0,-2.0,0.23,-0.02,0.08,-0.14,1,-0.54,False,1.0,0.0,1.0,-2.0,-2.0,0.17,-0.01,0.17,-0.01,-2.0,-2.0,-2.0,-2.0,0.25,-0.07,0.39,-0.05
10031015,1.0,0.0,1.0,-2.0,-2.0,0.18,-0.03,0.17,0.0,-2.0,-2.0,-2.0,-2.0,0.25,-0.01,0.38,-0.01,1,-0.53,False,1.0,0.0,1.0,-2.0,0.98,0.19,-0.03,0.18,0.02,-2.0,-2.0,-2.0,-2.0,-0.04,-0.09,0.36,-0.07
10031019,1.0,0.0,1.0,-2.0,0.98,0.19,-0.03,0.18,0.02,-2.0,-2.0,-2.0,-2.0,-0.04,-0.09,0.36,-0.07,1,-0.51,False,1.0,0.0,1.0,-2.0,0.82,0.2,-0.04,0.19,0.03,-2.0,-2.0,-2.0,-2.0,0.3,-0.08,0.37,0.04
10031023,1.0,0.0,1.0,-2.0,0.82,0.2,-0.04,0.19,0.03,-2.0,-2.0,-2.0,-2.0,0.3,-0.08,0.37,0.04,1,-0.49,False,1.0,0.0,1.0,-2.0,0.65,0.22,-0.04,0.2,0.04,-2.0,-2.0,-2.0,-2.0,0.32,-0.06,0.37,-0.01
10031036,1.0,1.0,0.0,-2.0,-2.0,0.57,-0.0,-2.0,-2.0,0.36,-0.0,0.19,-0.06,0.07,0.0,-2.0,-2.0,0,-1.14,False,0.0,1.0,0.0,-2.0,-2.0,0.07,0.0,-2.0,-2.0,0.57,-0.0,0.18,-0.05,-2.0,-2.0,-2.0,-2.0
10031040,0.0,1.0,0.0,-2.0,-2.0,0.07,0.0,-2.0,-2.0,0.57,-0.0,0.18,-0.05,-2.0,-2.0,-2.0,-2.0,1,-0.41,False,0.0,1.0,0.0,-2.0,-2.0,0.15,-0.27,0.97,-0.44,0.66,-0.27,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
10031044,0.0,1.0,0.0,-2.0,-2.0,0.15,-0.27,0.97,-0.44,0.66,-0.27,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,-0.34,False,0.0,1.0,0.0,-2.0,-2.0,0.22,-0.19,0.87,-0.31,0.73,-0.2,-0.02,-0.25,-2.0,-2.0,-2.0,-2.0
10031048,0.0,1.0,0.0,-2.0,-2.0,0.22,-0.19,0.87,-0.31,0.73,-0.2,-0.02,-0.25,-2.0,-2.0,-2.0,-2.0,1,-0.28,False,0.0,1.0,0.0,-2.0,-2.0,0.26,-0.13,0.79,-0.22,0.77,-0.14,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
10031052,0.0,1.0,0.0,-2.0,-2.0,0.26,-0.13,0.79,-0.22,0.77,-0.14,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,-0.23,False,0.0,1.0,0.0,-2.0,-2.0,0.29,-0.09,0.74,-0.16,0.03,-0.14,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
10031056,0.0,1.0,0.0,-2.0,-2.0,0.29,-0.09,0.74,-0.16,0.03,-0.14,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,-0.2,False,0.0,1.0,0.0,-2.0,-2.0,0.31,-0.06,0.7,-0.13,0.83,-0.06,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
10031060,0.0,1.0,0.0,-2.0,-2.0,0.31,-0.06,0.7,-0.13,0.83,-0.06,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2,-1.18,False,1.0,1.0,0.0,-2.0,-2.0,0.09,-0.08,-2.0,-2.0,0.62,-0.04,-2.0,-2.0,0.32,-0.04,0.66,-0.11
10031064,1.0,1.0,0.0,-2.0,-2.0,0.09,-0.08,-2.0,-2.0,0.62,-0.04,-2.0,-2.0,0.32,-0.04,0.66,-0.11,1,-0.26,False,1.0,1.0,0.0,-2.0,-2.0,0.88,-0.12,-2.0,-2.0,0.15,-0.16,-2.0,-2.0,0.36,-0.11,0.6,-0.19
10031068,1.0,1.0,0.0,-2.0,-2.0,0.88,-0.12,-2.0,-2.0,0.15,-0.16,-2.0,-2.0,0.36,-0.11,0.6,-0.19,1,-0.2,False,1.0,1.0,0.0,-2.0,-2.0,0.9,-0.05,-2.0,-2.0,0.18,-0.08,-2.0,-2.0,0.37,-0.05,0.57,-0.09
10031072,1.0,1.0,0.0,-2.0,-2.0,0.9,-0.05,-2.0,-2.0,0.18,-0.08,-2.0,-2.0,0.37,-0.05,0.57,-0.09,1,-0.14,False,1.0,1.0,0.0,-2.0,-2.0,0.9,0.0,-2.0,-2.0,0.18,-0.02,-2.0,-2.0,0.37,0.01,0.56,-0.04
10031076,1.0,1.0,0.0,-2.0,-2.0,0.9,0.0,-2.0,-2.0,0.18,-0.02,-2.0,-2.0,0.37,0.01,0.56,-0.04,1,-0.12,False,1.0,1.0,0.0,-2.0,-2.0,0.89,0.02,-2.0,-2.0,0.18,0.01,-2.0,-2.0,0.36,0.02,0.54,-0.03
